Gene mut_lof mut_silentCFPK mut_damaging dn_lof_SCZ dn_silentCFPK_SCZ dn_damaging_SCZ caseData1_SCZ caseData2_SCZ caseData3_SCZ controlData1_SCZ controlData2_SCZ controlData3_SCZ BF_SCZ PP_SCZ qvalue_SCZ dn_damaging_ASD dn_lof_ASD caseData_ASD controlData_ASD BF_ASD PP_ASD qvalue_ASD dn_damaging_DD dn_lof_DD BF_DD PP_DD qvalue_DD dn_damaging_ID dn_lof_ID BF_ID PP_ID qvalue_ID dn_damaging_EPI dn_lof_EPI BF_EPI PP_EPI qvalue_EPI
ADNP 2.1002491732146e-06 1.11606e-10 2.26581e-06 0 0 0 0 0 0 0 0 1 0.913707132302174 0.0736973416491081 0.901879430370036 0 5 1 0 21226511.9369894 0.999998986953058 2.04746180654247e-07 1 19 1.78223788260938e+38 1 0 0 1 59.0490349161932 0.60513062088226 0.192449775794108 0 0 0.78093163536647 0.00895336558513777 0.98641240099426
AGO1 2.91549120972816e-06 5.89818e-07 9.13508e-06 0 0 0 0 0 0 1 0 0 0.655014326652792 0.0539576791288364 0.910708208395187 1 0 0 0 1.34860067966216 0.0590143631347811 0.779354734598961 1 0 0.464923441976075 0.0134009773459976 0.936541847071187 2 0 282.846570302967 0.880105089797396 0.0183490968372766 0 0 0.524612209919346 0.00603239588157512 0.988038021456283
AGO2 2.2928687570546e-06 2.77034e-06 1.1618e-05 0 0 0 1 0 0 1 1 0 0.60981754925525 0.0504222636766636 0.912238735874825 0 0 0 0 0.425777047473062 0.0194159404428932 0.950685828789644 0 0 0.0222817774737083 0.000650551312834776 0.969769947341473 3 0 8675.44102394485 0.995578181222995 0.000720455734641375 0 0 0.481634076619982 0.00554093845919977 0.988133345522072
AHDC1 2.51323738571129e-06 3.26654e-05 1.04146e-10 0 1 0 0 0 0 0 0 0 1.09295033216017 0.086898335550825 0.862919082867415 0 1 1 0 39.1927276509582 0.645719601558617 0.139332080808997 0 8 682738892495912 0.99999999999995 2.84567691048659e-15 0 2 6541.57369848969 0.994144226268155 0.000953879279968812 0 0 0.853371490599295 0.00977576809148403 0.984948230723648
AIFM3 2.04529066078248e-06 2.35037e-06 6.9023e-06 0 0 0 0 1 0 1 1 4 0.584687177733563 0.0484450427143614 0.912519864403177 0 0 0 1 0.400815001878722 0.0182984705661908 0.951409328230206 1 1 115.090331964525 0.770769935821749 0.0417298713444694 0 0 0.435906070279419 0.0111863967424349 0.971844499858013 0 0 0.620097934602154 0.00712254407358613 0.987712422891928
AKR1C4 1.01035883411977e-06 1.11606e-10 1.42153e-06 0 0 0 1 0 1 3 0 0 0.546456942874292 0.0454213024869549 0.912864589485856 0 0 1 1 1.71259953805199 0.0737678349260167 0.746598426384853 0 0 0.358801927455805 0.0103738574156528 0.948218413812314 0 0 0.743725830446295 0.0189362065601387 0.961175477325919 1 0 62.9503712382946 0.421378331732012 0.432127181807562
ANK2 8.55142557432105e-06 5.5152e-07 2.13576e-05 0 0 0 5 0 1 8 1 5 0.242017225828025 0.020638643034617 0.919486802759134 2 4 0 0 321550.486035059 0.999933130137315 1.00996426142114e-05 1 0 0.00103335672933084 3.01891933254333e-05 0.971023936704765 0 1 5.13327133598853 0.117560644548439 0.501804709137474 0 0 0.199787780836996 0.00230592684820587 0.98837608426144
ANKRD11 4.91828790668051e-06 4.18463e-05 1.12154e-05 0 1 0 2 1 0 2 0 1 1.44079874281221 0.111472123857648 0.80767312938876 0 2 0 0 131.906068661673 0.859829614904855 0.0414026448080964 0 32 5.96364329522413e+61 1 0 0 2 2049.52953442632 0.981546705206058 0.00376919048827527 0 0 0.416589345790411 0.004796223193514 0.988229640851309
ANKRD50 3.00282514300521e-06 1.11606e-10 4.75381e-06 0 0 0 4 0 1 4 0 2 0.93270030269664 0.0751142128655021 0.900169551883117 0 0 0 1 0.338863896023781 0.0155140848708144 0.952701829516668 0 0 0.0446914530453024 0.00130398363292207 0.968572545058285 0 0 0.403329582225189 0.0103590659003764 0.972247925587972 0 1 58.207808025469 0.402407238409989 0.45745741341919
AP3S2 6.52949436816095e-07 3.62071e-07 1.5206e-06 0 0 0 0 1 0 1 0 2 0.97361948946557 0.0781520625801378 0.870195229625374 0 0 1 0 2.45081965058037 0.10231232890226 0.648850159760391 0 0 0.459242181703935 0.0132393884477131 0.937253919896249 0 0 0.797366695425299 0.0202742813802341 0.955528012147388 0 1 79.6549660589226 0.479571369705237 0.181468183995309
